NAME_2,NAME_3,lat,long,avg_rainfall,max_rainfall,elevation,slope,ndvi,month,year,landcover_class,population_density,drainage_density,distance_to_river,banjir
Banggai Laut,Banggai Laut_Kec_4,-0.67638,124.253572,182.38,278.08,33.92,13.3,0.234,5,2015,Agriculture,177.44,1.86,595.14,0
Tolitoli,Tolitoli_Kec_9,-0.926313,122.559264,128.6,156.33,91.26,30.59,0.241,3,2021,Agriculture,335.19,1.065,53.81,1
Parigi Moutong,Parigi Moutong_Kec_5,1.096896,123.541987,119.97,161.22,230.55,8.0,0.304,8,2018,Agriculture,442.81,1.905,587.29,0
Banggai Laut,Banggai Laut_Kec_18,-1.245437,124.347923,160.93,237.38,509.89,16.4,0.258,12,2023,Agriculture,863.42,1.813,144.51,0
Banggai Kepulauan,Banggai Kepulauan_Kec_14,-0.529796,121.474408,181.82,204.61,312.3,21.1,0.316,1,2021,Agriculture,961.55,1.9,314.65,0
Palu,Palu_Kec_3,0.112672,123.936064,98.11,145.83,249.83,11.86,-0.174,10,2017,Agriculture,682.45,0.237,809.38,0
Parigi Moutong,Parigi Moutong_Kec_17,-0.274288,124.037832,123.28,128.43,281.75,11.03,0.533,12,2018,Tree Cover,416.77,5.361,620.08,0
Banggai Kepulauan,Banggai Kepulauan_Kec_1,0.888274,121.090017,137.17,176.13,111.41,17.01,0.067,3,2024,Built-up,196.99,2.059,2290.5,0
Parigi Moutong,Parigi Moutong_Kec_18,-0.243628,123.015095,162.88,210.64,656.4,27.79,0.37,2,2020,Tree Cover,194.64,0.247,338.58,0
Parigi Moutong,Parigi Moutong_Kec_15,0.242116,122.154673,248.25,256.45,179.64,17.8,0.421,6,2015,Tree Cover,293.51,0.947,567.74,1
Buol,Buol_Kec_1,0.775076,121.129795,185.91,207.36,331.62,10.77,0.6,11,2023,Tree Cover,320.36,0.725,2068.95,0
Buol,Buol_Kec_6,-1.026175,122.79992,161.37,250.59,150.86,13.94,0.062,3,2017,Built-up,986.84,4.369,1819.28,0
Morowali Utara,Morowali Utara_Kec_11,0.539627,122.710158,161.31,236.74,1.85,23.21,0.723,9,2018,Tree Cover,481.84,4.287,216.66,0
Poso,Poso_Kec_5,0.439474,122.748164,171.22,249.44,168.01,17.9,0.335,6,2022,Agriculture,421.97,3.805,1267.06,0
Buol,Buol_Kec_11,-0.069288,121.962588,181.28,205.57,65.92,16.94,0.325,5,2017,Agriculture,628.99,5.883,62.67,0
Donggala,Donggala_Kec_13,-1.227267,120.842374,34.1,76.06,100.4,3.9,0.527,9,2020,Tree Cover,191.42,2.189,278.05,0
Donggala,Donggala_Kec_12,0.63034,123.835362,151.2,227.35,139.24,14.97,0.287,12,2016,Tree Cover,640.82,0.609,690.73,0
Banggai Kepulauan,Banggai Kepulauan_Kec_9,-0.403206,122.213223,184.31,185.93,6.2,9.61,0.46,4,2020,Agriculture,84.18,0.358,606.33,0
Tolitoli,Tolitoli_Kec_15,0.11229,123.130457,150.76,214.02,78.0,7.39,0.451,5,2015,Agriculture,713.04,1.081,136.1,0
Morowali Utara,Morowali Utara_Kec_3,-0.15232,123.07298,86.96,164.49,619.62,11.57,0.204,5,2020,Tree Cover,83.42,0.136,98.7,0
Banggai Laut,Banggai Laut_Kec_20,-1.677814,123.777303,138.13,244.29,20.59,4.05,0.064,2,2018,Bareland,1267.82,3.044,1553.08,0
Banggai Kepulauan,Banggai Kepulauan_Kec_7,-1.311197,119.852844,78.21,122.13,176.27,30.85,0.606,1,2017,Tree Cover,468.75,4.932,843.26,0
Tolitoli,Tolitoli_Kec_3,-0.978117,120.572946,206.81,244.26,192.6,22.26,0.664,2,2017,Tree Cover,161.02,4.196,793.12,1
Palu,Palu_Kec_8,0.405213,123.517405,132.23,157.36,277.75,11.05,0.373,7,2022,Tree Cover,359.34,1.47,911.16,0
Donggala,Donggala_Kec_8,-1.085292,121.388644,203.55,243.77,98.73,39.06,0.325,4,2017,Agriculture,127.81,0.596,737.93,0
Morowali Utara,Morowali Utara_Kec_9,-1.161816,124.230973,149.29,189.01,534.52,16.27,0.685,12,2023,Tree Cover,554.25,0.652,70.28,0
Tojo Una-Una,Tojo Una-Una_Kec_12,-1.581711,123.6093,217.89,253.76,17.73,28.56,0.069,7,2023,Agriculture,52.48,4.264,525.71,0
Morowali,Morowali_Kec_12,0.315253,120.743621,203.47,231.74,58.52,1.48,0.444,9,2021,Agriculture,504.28,5.775,375.84,0
Banggai Laut,Banggai Laut_Kec_9,0.805797,120.617979,226.64,278.73,991.37,21.78,0.361,9,2015,Agriculture,194.77,3.784,702.26,1
Banggai Kepulauan,Banggai Kepulauan_Kec_6,-1.663661,120.904816,243.0,358.69,64.97,22.08,0.245,12,2019,Agriculture,422.23,1.892,1344.73,1
Sigi,Sigi_Kec_15,-1.312149,124.054636,243.81,316.07,108.34,29.6,0.294,1,2019,Tree Cover,162.06,4.984,673.47,0
Poso,Poso_Kec_18,-1.689534,120.169261,221.81,282.08,277.19,22.84,0.47,3,2015,Agriculture,143.19,1.546,256.97,0
Banggai Laut,Banggai Laut_Kec_11,0.834662,123.284996,117.54,167.49,129.33,8.63,0.236,11,2023,Agriculture,170.81,2.552,1228.46,0
Parigi Moutong,Parigi Moutong_Kec_2,0.615134,124.015755,276.96,333.06,187.34,21.82,0.373,9,2020,Tree Cover,713.26,1.823,593.2,1
Morowali Utara,Morowali Utara_Kec_9,0.589415,121.796734,144.82,208.64,13.71,32.94,0.591,11,2017,Tree Cover,34.09,3.529,409.06,0
Donggala,Donggala_Kec_7,-1.259798,122.982507,251.61,331.52,144.82,22.54,0.451,2,2024,Tree Cover,269.55,1.278,362.38,0
Parigi Moutong,Parigi Moutong_Kec_16,0.271184,119.696561,98.24,163.68,17.06,21.43,0.226,4,2022,Built-up,3222.54,2.245,496.71,0
Morowali Utara,Morowali Utara_Kec_15,-1.68995,120.762185,134.46,201.76,143.36,19.41,0.159,9,2021,Agriculture,248.86,1.966,190.05,0
Poso,Poso_Kec_5,-1.440714,123.952636,147.61,248.22,311.34,23.36,0.178,8,2022,Agriculture,106.33,1.738,360.89,0
Tolitoli,Tolitoli_Kec_18,-0.087665,121.280484,140.48,191.31,54.16,19.74,0.225,11,2022,Tree Cover,24.56,5.895,95.06,0
Tolitoli,Tolitoli_Kec_19,1.108411,123.827536,184.23,216.93,37.48,22.08,0.5,3,2019,Tree Cover,170.58,2.581,566.79,0
Morowali Utara,Morowali Utara_Kec_19,-1.45549,122.5531,99.9,169.06,33.53,5.02,0.359,10,2019,Tree Cover,820.63,1.565,915.31,0
Morowali,Morowali_Kec_8,-0.013084,121.857881,121.16,124.26,530.51,6.92,0.368,3,2015,Agriculture,488.74,5.059,120.45,0
Banggai,Banggai_Kec_16,-1.195118,120.31828,229.01,290.84,218.84,8.86,0.285,8,2022,Agriculture,39.08,2.803,286.92,1
Buol,Buol_Kec_2,-0.291839,120.661063,99.6,142.42,156.86,29.83,0.407,7,2017,Agriculture,125.08,4.774,774.22,0
Sigi,Sigi_Kec_6,0.881678,123.442986,129.98,166.2,57.13,8.47,0.254,11,2024,Tree Cover,846.68,0.708,1499.0,0
Banggai Kepulauan,Banggai Kepulauan_Kec_3,-0.608138,123.486477,124.5,161.68,256.21,6.71,0.552,11,2019,Tree Cover,92.39,2.57,271.66,0
Morowali Utara,Morowali Utara_Kec_13,0.935557,120.195581,115.99,157.92,259.0,7.79,0.484,9,2020,Tree Cover,215.83,1.035,164.95,0
Banggai,Banggai_Kec_9,-0.803561,121.057221,126.49,192.62,95.38,4.16,0.224,3,2018,Agriculture,683.31,2.111,340.89,0
Banggai Laut,Banggai Laut_Kec_4,-0.443346,120.623024,153.67,169.9,38.81,10.96,0.319,11,2020,Tree Cover,153.13,3.115,2968.62,0
Buol,Buol_Kec_11,-0.128084,123.80316,117.24,127.06,71.22,26.89,-0.032,1,2022,Agriculture,57.57,4.299,600.02,0
Poso,Poso_Kec_14,-0.356736,121.98506,185.05,224.35,81.4,23.5,0.534,2,2015,Tree Cover,764.68,0.211,200.79,0
Sigi,Sigi_Kec_15,0.215678,119.598553,213.58,266.54,39.34,16.55,0.304,8,2018,Agriculture,55.18,0.567,802.44,0
Tolitoli,Tolitoli_Kec_9,0.744384,120.113884,104.97,164.88,243.44,35.45,0.578,3,2021,Tree Cover,981.41,2.208,1579.02,0
Banggai,Banggai_Kec_6,1.123642,123.398794,116.5,171.49,844.9,8.01,0.081,9,2022,Built-up,135.57,1.347,828.63,0
Donggala,Donggala_Kec_10,-1.403171,124.002862,231.04,314.13,345.85,26.34,0.622,5,2023,Tree Cover,1834.88,0.684,120.68,0
Banggai Laut,Banggai Laut_Kec_17,-1.000505,123.160923,148.96,220.31,136.35,6.31,0.579,2,2020,Tree Cover,211.83,3.639,225.2,0
Banggai Kepulauan,Banggai Kepulauan_Kec_7,-0.933919,121.278364,159.93,180.65,167.13,22.26,0.387,1,2024,Agriculture,168.7,3.003,726.74,0
Morowali,Morowali_Kec_6,0.512737,120.032991,156.1,211.5,136.83,22.99,0.27,5,2017,Agriculture,558.69,2.198,76.84,1
Banggai Kepulauan,Banggai Kepulauan_Kec_11,-1.389544,124.251187,71.49,81.91,156.13,10.37,0.474,6,2020,Tree Cover,1162.85,0.357,886.73,0
Palu,Palu_Kec_4,-0.035209,124.496767,201.43,213.9,75.04,42.9,0.473,11,2021,Tree Cover,578.63,0.377,485.79,0
Buol,Buol_Kec_10,0.13364,122.750837,189.58,266.65,131.19,0.51,0.385,6,2023,Agriculture,1202.76,4.44,587.46,0
Palu,Palu_Kec_8,0.829996,121.58753,162.81,212.21,0.05,18.82,0.87,12,2023,Tree Cover,156.56,4.621,432.71,0
Banggai Kepulauan,Banggai Kepulauan_Kec_3,0.412747,120.693886,134.98,160.84,67.72,10.49,0.343,1,2023,Agriculture,379.17,4.094,196.98,1
Tolitoli,Tolitoli_Kec_16,0.559035,119.947055,199.22,242.8,579.11,40.06,0.583,10,2016,Tree Cover,1517.61,2.335,29.94,1
Donggala,Donggala_Kec_18,0.678617,123.503848,87.54,154.69,146.07,10.59,0.384,3,2017,Agriculture,299.1,1.385,202.69,0
Sigi,Sigi_Kec_16,-0.02118,122.400431,119.36,157.73,439.19,14.99,0.0,8,2019,Built-up,85.32,0.34,608.46,0
Sigi,Sigi_Kec_9,-1.471593,123.9724,152.16,233.08,473.99,26.89,0.381,8,2015,Tree Cover,1694.43,0.986,139.86,0
Parigi Moutong,Parigi Moutong_Kec_18,-1.08393,124.150452,165.89,197.0,41.95,25.95,0.396,2,2018,Agriculture,257.58,3.359,1130.56,0
Tolitoli,Tolitoli_Kec_10,-1.220601,119.920491,182.63,189.4,24.62,12.92,0.587,12,2019,Tree Cover,236.85,0.66,2214.6,0
Morowali Utara,Morowali Utara_Kec_12,-1.596489,121.004818,131.85,187.09,174.54,38.48,0.238,12,2021,Tree Cover,437.46,0.44,1378.59,0
Banggai,Banggai_Kec_15,0.656357,120.762544,183.91,232.47,21.56,11.33,0.443,4,2020,Agriculture,534.64,0.831,1620.29,1
Parigi Moutong,Parigi Moutong_Kec_8,-1.706093,123.15635,57.66,90.66,77.35,19.25,0.45,12,2022,Agriculture,1676.75,0.998,182.22,0
Morowali,Morowali_Kec_1,-1.339026,121.768468,131.49,182.19,318.71,22.17,0.678,4,2018,Tree Cover,1345.9,3.373,204.47,0
Banggai Kepulauan,Banggai Kepulauan_Kec_18,0.154558,121.129627,77.33,186.29,831.47,22.35,0.593,12,2020,Tree Cover,630.09,5.452,1030.71,0
Parigi Moutong,Parigi Moutong_Kec_19,-1.362234,120.013962,133.83,185.26,131.69,16.62,0.363,9,2015,Agriculture,137.46,4.956,354.29,0
Palu,Palu_Kec_3,1.132399,120.504295,195.97,262.54,8.41,18.22,0.69,9,2016,Tree Cover,1196.23,5.614,2355.28,0
Tolitoli,Tolitoli_Kec_2,0.550268,122.56129,255.79,299.63,161.04,24.96,0.306,2,2020,Agriculture,89.06,3.58,840.53,0
Donggala,Donggala_Kec_2,0.047226,121.145087,233.58,277.46,410.88,11.28,0.088,8,2023,Bareland,994.49,2.985,68.03,0
Donggala,Donggala_Kec_17,-1.138317,121.591999,174.11,211.52,38.28,12.59,0.525,12,2022,Tree Cover,646.72,3.283,577.23,0
Parigi Moutong,Parigi Moutong_Kec_9,-1.711817,121.477576,225.49,324.7,314.96,14.95,0.252,10,2022,Tree Cover,559.11,2.462,736.75,0
Parigi Moutong,Parigi Moutong_Kec_18,-0.681454,122.063076,114.82,160.55,114.95,19.01,0.213,1,2023,Agriculture,395.17,5.818,238.87,0
Tolitoli,Tolitoli_Kec_19,-0.82443,123.367366,72.21,114.03,15.27,25.4,0.039,11,2015,Built-up,195.52,1.553,356.09,0
Tojo Una-Una,Tojo Una-Una_Kec_8,0.016614,121.28366,224.73,280.07,244.42,26.9,0.286,10,2015,Tree Cover,191.1,0.777,481.47,1
Buol,Buol_Kec_14,-0.851532,122.036174,195.82,256.21,121.3,0.66,0.162,7,2022,Agriculture,571.38,5.821,78.89,1
Donggala,Donggala_Kec_4,-0.468749,123.840711,177.36,199.85,364.17,15.21,0.39,12,2022,Tree Cover,857.86,4.783,2007.47,0
Morowali,Morowali_Kec_14,1.022626,123.634194,191.96,296.42,85.72,26.85,0.298,11,2018,Tree Cover,180.57,3.921,1159.19,1
Tojo Una-Una,Tojo Una-Una_Kec_2,-0.485483,124.006878,131.79,204.38,406.36,7.07,0.618,5,2017,Tree Cover,1465.8,2.362,476.37,0
Banggai Laut,Banggai Laut_Kec_4,-0.680245,120.636348,158.48,187.48,220.65,4.5,-0.15,5,2024,Built-up,2965.27,0.698,129.07,0
Palu,Palu_Kec_13,-1.061791,121.883477,201.12,216.69,274.77,9.78,0.376,3,2018,Tree Cover,438.71,5.61,346.63,0
Buol,Buol_Kec_4,-0.342385,120.783883,100.57,117.46,324.94,2.24,0.229,9,2021,Agriculture,61.37,4.103,160.17,0
Parigi Moutong,Parigi Moutong_Kec_7,0.327139,120.034385,70.35,133.56,658.97,28.94,0.444,7,2020,Tree Cover,344.81,4.924,1724.76,0
Sigi,Sigi_Kec_14,-1.163865,122.554905,207.47,248.44,460.56,8.13,0.291,10,2023,Agriculture,1044.74,0.618,782.23,0
Poso,Poso_Kec_15,-0.040175,120.340071,181.69,244.1,48.86,17.64,0.642,9,2016,Tree Cover,55.62,1.684,727.15,0
Parigi Moutong,Parigi Moutong_Kec_3,-0.471849,121.728955,202.13,236.53,184.87,23.87,0.576,9,2022,Tree Cover,1668.17,2.233,336.74,0
Tojo Una-Una,Tojo Una-Una_Kec_18,-0.47277,123.659316,123.95,180.12,204.42,33.69,0.079,2,2021,Agriculture,248.32,2.302,360.72,1
Palu,Palu_Kec_18,-0.460943,121.167848,108.75,163.59,652.28,23.22,0.6,12,2015,Tree Cover,222.22,1.84,3180.67,0
Palu,Palu_Kec_3,-0.652421,120.099145,193.27,266.19,55.85,9.24,0.41,12,2020,Agriculture,817.06,0.998,52.15,0
Sigi,Sigi_Kec_14,-1.117928,121.208373,73.18,87.46,54.64,27.4,0.423,12,2019,Tree Cover,1219.08,2.377,556.36,0
Tojo Una-Una,Tojo Una-Una_Kec_7,-0.180802,122.63975,168.65,278.71,255.61,14.9,0.492,2,2023,Tree Cover,338.33,2.902,301.18,0
Palu,Palu_Kec_6,-1.382406,123.991308,124.19,202.14,610.66,15.12,0.034,12,2018,Bareland,311.03,2.665,89.34,0
Palu,Palu_Kec_13,-1.151885,122.59794,101.67,164.19,12.66,13.18,0.283,3,2023,Tree Cover,162.45,4.168,51.45,0
Buol,Buol_Kec_15,1.190091,123.569851,134.88,138.85,195.58,31.98,0.308,3,2021,Tree Cover,42.94,1.102,391.62,1
Morowali Utara,Morowali Utara_Kec_18,-1.054259,120.169019,284.99,376.07,174.53,10.53,0.111,10,2016,Built-up,90.86,0.434,34.85,1
Tolitoli,Tolitoli_Kec_16,-1.002447,122.730451,175.64,177.93,32.32,18.0,0.461,3,2023,Agriculture,825.25,2.385,2502.9,0
Parigi Moutong,Parigi Moutong_Kec_10,-1.493551,122.793461,166.05,210.12,532.77,10.08,0.452,8,2020,Agriculture,1102.71,0.447,584.53,0
Palu,Palu_Kec_19,0.412301,122.06111,228.08,271.21,17.72,21.76,0.61,11,2018,Tree Cover,592.32,1.152,153.03,1
Tolitoli,Tolitoli_Kec_18,0.180908,123.321863,207.89,287.77,195.99,10.69,0.3,9,2023,Agriculture,291.96,5.38,311.14,0
Tolitoli,Tolitoli_Kec_11,-0.376992,120.069783,178.72,253.66,147.11,14.37,0.168,8,2024,Agriculture,535.51,1.482,103.63,0
Palu,Palu_Kec_19,0.860775,122.729054,157.38,233.2,395.19,11.49,0.407,5,2022,Tree Cover,435.41,1.125,44.29,0
Banggai,Banggai_Kec_17,0.459562,120.846656,229.96,331.85,22.85,27.11,0.342,6,2019,Agriculture,381.66,1.82,665.97,1
Palu,Palu_Kec_17,0.819969,122.681457,280.08,311.41,123.81,15.65,0.165,8,2017,Agriculture,1087.64,1.264,647.9,0
Sigi,Sigi_Kec_3,0.047956,120.440124,128.86,214.76,161.59,14.36,0.48,9,2018,Agriculture,123.51,1.868,1674.19,1
Banggai Laut,Banggai Laut_Kec_8,-0.695071,121.743053,128.13,195.8,179.81,11.22,0.2,6,2018,Bareland,197.87,2.444,1658.85,0
Donggala,Donggala_Kec_19,0.370214,120.020687,90.96,162.99,10.85,4.21,0.662,3,2015,Tree Cover,111.21,4.188,1096.1,1
Parigi Moutong,Parigi Moutong_Kec_19,-1.170474,123.625653,169.29,188.42,26.11,23.43,0.088,12,2023,Built-up,362.72,2.556,808.87,0
Palu,Palu_Kec_20,-1.444991,121.549524,178.84,217.67,169.67,29.23,0.126,11,2015,Agriculture,1620.95,4.201,2123.04,0
Morowali Utara,Morowali Utara_Kec_19,-1.631592,123.76364,233.7,266.19,123.88,4.29,0.329,10,2018,Tree Cover,331.52,0.092,47.19,1
Poso,Poso_Kec_7,-1.405952,121.49418,157.3,205.69,2.7,30.3,0.159,10,2020,Built-up,957.19,1.645,136.04,1
Tolitoli,Tolitoli_Kec_11,-1.660498,122.598497,138.04,146.47,75.72,23.99,0.303,11,2018,Agriculture,956.78,4.737,783.44,0
Poso,Poso_Kec_13,1.138653,120.224825,131.15,156.02,82.58,25.61,0.676,6,2021,Tree Cover,436.25,1.403,413.98,0
Sigi,Sigi_Kec_10,0.5751,122.244193,151.76,161.62,375.36,18.45,0.173,10,2016,Bareland,265.23,4.508,274.65,0
Morowali,Morowali_Kec_3,-1.464192,121.279867,205.96,219.96,411.36,11.82,0.512,8,2019,Tree Cover,113.27,1.57,2344.52,0
Palu,Palu_Kec_15,0.452189,122.289904,172.97,196.34,84.22,11.16,0.257,7,2023,Agriculture,133.01,2.674,174.14,0
Donggala,Donggala_Kec_18,-1.517892,121.283355,139.74,165.4,74.89,46.98,0.563,2,2021,Tree Cover,62.68,5.388,147.96,0
Parigi Moutong,Parigi Moutong_Kec_17,-0.005662,119.666918,214.89,305.57,343.38,12.93,0.578,7,2019,Tree Cover,946.26,1.037,1709.17,0
Poso,Poso_Kec_5,-1.3133,119.563038,221.62,307.24,254.13,19.72,0.384,3,2023,Tree Cover,1120.33,2.853,1379.15,0
Donggala,Donggala_Kec_8,-0.726605,121.971062,125.08,204.86,38.17,20.13,0.272,2,2024,Tree Cover,119.27,3.702,457.46,0
Poso,Poso_Kec_6,0.414207,123.530979,126.15,196.14,6.32,10.34,0.165,4,2015,Bareland,496.51,5.03,262.0,0
Banggai,Banggai_Kec_10,0.282452,122.063274,99.98,129.65,6.75,35.32,0.495,2,2017,Agriculture,584.78,5.448,888.71,0
Banggai Laut,Banggai Laut_Kec_18,-1.467032,121.735278,205.35,251.74,158.22,18.47,0.306,9,2017,Tree Cover,457.36,5.838,1399.14,0
Banggai Laut,Banggai Laut_Kec_4,0.718383,124.408993,200.16,311.87,197.9,31.24,0.01,11,2019,Agriculture,508.82,1.819,285.25,0
Poso,Poso_Kec_4,-1.655571,124.014475,171.42,248.39,179.9,15.76,0.364,5,2018,Agriculture,958.78,1.36,536.13,0
Tolitoli,Tolitoli_Kec_18,-0.224281,119.663228,124.1,181.34,483.1,7.13,0.636,3,2018,Tree Cover,228.66,4.075,112.97,0
Sigi,Sigi_Kec_9,0.560251,124.353831,105.2,127.27,128.07,25.58,0.511,3,2024,Tree Cover,368.64,5.831,321.99,0
Poso,Poso_Kec_20,-1.211707,122.5539,105.28,135.2,145.37,17.23,-0.025,9,2023,Agriculture,336.57,4.909,267.89,0
Tolitoli,Tolitoli_Kec_11,-0.205202,123.899313,128.21,180.29,225.04,18.69,0.646,8,2022,Tree Cover,147.59,4.042,238.91,0
Parigi Moutong,Parigi Moutong_Kec_9,-0.909817,123.092146,190.54,256.59,8.28,10.14,0.216,12,2022,Tree Cover,391.97,4.52,58.92,1
Poso,Poso_Kec_2,-0.735686,124.208629,211.32,296.03,89.86,14.81,0.541,4,2020,Tree Cover,399.78,0.767,1861.94,0
Donggala,Donggala_Kec_14,-0.198098,120.210686,148.34,192.09,69.92,41.15,-0.042,7,2022,Bareland,624.18,3.931,1494.59,0
Palu,Palu_Kec_1,-0.510207,122.864833,102.81,119.97,311.17,30.15,0.323,8,2024,Tree Cover,674.92,2.252,22.24,0
Buol,Buol_Kec_5,-0.222562,122.058407,172.44,191.55,9.16,34.87,0.605,11,2015,Tree Cover,182.27,0.652,1502.58,0
Banggai Laut,Banggai Laut_Kec_9,0.72517,122.401108,103.09,157.35,36.63,13.94,-0.003,6,2019,Agriculture,70.3,1.771,1842.73,0
Tolitoli,Tolitoli_Kec_15,1.067756,121.069834,161.98,239.1,350.55,12.71,0.111,1,2016,Built-up,346.1,1.052,226.85,0
Tolitoli,Tolitoli_Kec_14,-0.731443,123.634075,107.0,173.7,141.63,5.11,0.409,3,2016,Agriculture,91.91,2.959,411.04,1
Donggala,Donggala_Kec_3,0.840944,122.61703,248.03,331.86,44.96,12.21,0.401,12,2020,Agriculture,478.89,0.827,1250.46,0
